president,year,majortopic
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2002,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,20
George W. Bush,2003,19
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,6
George W. Bush,2003,12
George W. Bush,2003,1
George W. Bush,2003,12
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,15
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,15
George W. Bush,2003,15
George W. Bush,2003,15
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,1
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,7
George W. Bush,2003,8
George W. Bush,2003,7
George W. Bush,2003,21
George W. Bush,2003,7
George W. Bush,2003,7
George W. Bush,2003,7
George W. Bush,2003,7
George W. Bush,2003,8
George W. Bush,2003,8
George W. Bush,2003,8
George W. Bush,2003,0
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,13
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,3
George W. Bush,2003,2
George W. Bush,2003,2
George W. Bush,2003,2
George W. Bush,2003,0
