Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,March,12,Monday,CBS,2,16,11
2001,March,12,Monday,NBC,1,1,11
2001,March,12,Monday,NBC,2,1,11
2001,March,13,Tuesday,ABC,1,4,11
2001,March,13,Tuesday,ABC,2,18,11
2001,March,13,Tuesday,CBS,1,4,11
2001,March,13,Tuesday,CBS,2,4,11
2001,March,13,Tuesday,NBC,1,1,11
2001,March,13,Tuesday,NBC,2,13,11
2001,March,14,Wednesday,ABC,1,1,11
2001,March,14,Wednesday,ABC,2,16,11
2001,March,14,Wednesday,CBS,1,1,11
2001,March,14,Wednesday,CBS,2,4,11
2001,March,14,Wednesday,NBC,1,1,11
2001,March,14,Wednesday,NBC,2,1,11
2001,March,15,Thursday,ABC,1,15,11
2001,March,15,Thursday,ABC,2,16,11
2001,March,15,Thursday,CBS,1,15,11
2001,March,15,Thursday,CBS,2,31,11
2001,March,15,Thursday,NBC,1,15,11
2001,March,15,Thursday,NBC,2,31,11
2001,March,16,Friday,ABC,1,1,11
2001,March,16,Friday,ABC,2,15,11
2001,March,16,Friday,CBS,1,1,11
2001,March,16,Friday,CBS,2,8,11
2001,March,16,Friday,NBC,1,1,11
2001,March,16,Friday,NBC,2,1,11
2001,March,19,Monday,ABC,1,8,11
2001,March,19,Monday,ABC,2,31,11
2001,March,19,Monday,CBS,1,8,11
2001,March,19,Monday,CBS,2,13,11
2001,March,19,Monday,NBC,1,8,11
2001,March,19,Monday,NBC,2,31,11
2001,March,20,Tuesday,ABC,1,1,11
2001,March,20,Tuesday,ABC,2,16,11
2001,March,20,Tuesday,CBS,1,1,11
2001,March,20,Tuesday,CBS,2,18,11
2001,March,20,Tuesday,NBC,1,1,11
2001,March,20,Tuesday,NBC,2,16,11
2001,March,21,Wednesday,ABC,1,13,11
2001,March,21,Wednesday,ABC,2,7,11
2001,March,21,Wednesday,CBS,1,4,11
2001,March,21,Wednesday,CBS,2,4,11
2001,March,21,Wednesday,NBC,1,1,11
2001,March,21,Wednesday,NBC,2,1,11
2001,March,22,Thursday,ABC,1,1,11
2001,March,22,Thursday,ABC,2,19,11
2001,March,22,Thursday,CBS,1,12,11
2001,March,22,Thursday,CBS,2,1,11
2001,March,22,Thursday,NBC,1,12,11
2001,March,22,Thursday,NBC,2,1,11
2001,March,23,Friday,ABC,1,17,11
2001,March,23,Friday,ABC,2,4,11
2001,March,23,Friday,CBS,1,12,11
2001,March,23,Friday,CBS,2,12,11
2001,March,23,Friday,NBC,1,1,11
2001,March,23,Friday,NBC,2,1,11
2001,March,26,Monday,ABC,1,19,11
2001,March,26,Monday,ABC,2,16,11
2001,March,26,Monday,CBS,1,19,11
2001,March,26,Monday,CBS,2,19,11
2001,March,26,Monday,NBC,1,1,11
2001,March,26,Monday,NBC,2,1,11
2001,March,27,Tuesday,ABC,1,15,11
2001,March,27,Tuesday,ABC,2,2,11
2001,March,27,Tuesday,CBS,1,15,11
2001,March,27,Tuesday,CBS,2,31,11
2001,March,27,Tuesday,NBC,1,1,11
