Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
1968,October,7,Monday,CBS,2,19,684
1968,October,7,Monday,NBC,1,16,684
1968,October,7,Monday,NBC,2,19,684
1968,October,8,Tuesday,ABC,1,16,684
1968,October,8,Tuesday,ABC,2,16,684
1968,October,8,Tuesday,CBS,1,16,684
1968,October,8,Tuesday,CBS,2,16,684
1968,October,8,Tuesday,NBC,1,19,684
1968,October,8,Tuesday,NBC,2,31,684
1968,October,9,Wednesday,ABC,1,20,684
1968,October,9,Wednesday,ABC,2,31,684
1968,October,9,Wednesday,CBS,1,31,684
1968,October,9,Wednesday,CBS,2,16,684
1968,October,9,Wednesday,NBC,1,31,684
1968,October,9,Wednesday,NBC,2,31,684
1968,October,10,Thursday,ABC,1,12,684
1968,October,10,Thursday,ABC,2,31,684
1968,October,10,Thursday,CBS,1,12,684
1968,October,10,Thursday,CBS,2,31,684
1968,October,10,Thursday,NBC,1,20,684
1968,October,10,Thursday,NBC,2,31,684
1968,October,11,Friday,ABC,1,17,684
1968,October,11,Friday,ABC,2,16,684
1968,October,11,Friday,CBS,1,17,684
1968,October,11,Friday,CBS,2,99,684
1968,October,11,Friday,NBC,1,17,684
1968,October,11,Friday,NBC,2,17,684
1968,October,14,Monday,ABC,1,17,684
1968,October,14,Monday,ABC,2,16,684
1968,October,14,Monday,CBS,1,17,684
1968,October,14,Monday,CBS,2,17,684
1968,October,14,Monday,NBC,1,17,684
1968,October,14,Monday,NBC,2,20,684
1968,October,15,Tuesday,ABC,1,17,684
1968,October,15,Tuesday,ABC,2,31,684
1968,October,15,Tuesday,CBS,1,17,684
1968,October,15,Tuesday,CBS,2,17,684
1968,October,15,Tuesday,NBC,1,17,684
1968,October,15,Tuesday,NBC,2,19,684
1968,October,16,Wednesday,ABC,1,16,684
1968,October,16,Wednesday,ABC,2,16,684
1968,October,16,Wednesday,CBS,1,16,684
1968,October,16,Wednesday,CBS,2,16,684
1968,October,16,Wednesday,NBC,1,16,684
1968,October,16,Wednesday,NBC,2,16,684
1968,October,17,Thursday,ABC,1,99,684
1968,October,17,Thursday,ABC,2,16,684
1968,October,17,Thursday,CBS,1,99,684
1968,October,17,Thursday,CBS,2,16,684
1968,October,17,Thursday,NBC,1,99,684
1968,October,17,Thursday,NBC,2,16,684
1968,October,18,Friday,ABC,1,16,684
1968,October,18,Friday,ABC,2,99,684
1968,October,18,Friday,CBS,1,31,684
1968,October,18,Friday,CBS,2,31,684
1968,October,18,Friday,NBC,1,16,684
1968,October,18,Friday,NBC,2,16,684
1968,October,21,Monday,ABC,1,16,684
1968,October,21,Monday,ABC,2,16,684
1968,October,21,Monday,CBS,1,17,684
1968,October,21,Monday,CBS,2,16,684
1968,October,21,Monday,NBC,1,16,684
1968,October,21,Monday,NBC,2,19,684
1968,October,22,Tuesday,ABC,1,17,684
1968,October,22,Tuesday,ABC,2,16,684
1968,October,22,Tuesday,CBS,1,17,684
1968,October,22,Tuesday,CBS,2,16,684
1968,October,22,Tuesday,NBC,1,17,684
1968,October,22,Tuesday,NBC,2,16,684
1968,October,23,Wednesday,ABC,1,16,684
